model,system,scenario,slice_kind,slice,regime,strategy,metric,unit,N,expected_units,known_units,missing_units,expected_items,complete_items,repeats_min,repeats_max,full_mean,known_subset_mean,cohort_id,source_input,source_row,run_start_utc,run_end_utc,latest_selection,display_value,display_unit,status
glm-5.3,poolact,tuning,all,all,cost_moderate,poolact,gap_mi,Gap points,4,9,9,0,3,3,3,3,98.96582781948116,98.96582781948116,glm_original,old_absolute,2023,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,98.97,points,known
glm-5.3,poolact,tuning,all,all,cost_tight,cached,gap0_mi,Gap points,4,9,9,0,3,3,3,3,86.57074750139166,86.57074750139166,glm_rerun_20260912,rerun_aggregate,80,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,86.57,points,known
glm-5.3,poolact,tuning,all,all,cost_tight,cached,gap_mi,Gap points,4,9,9,0,3,3,3,3,86.57074750139166,86.57074750139166,glm_rerun_20260912,rerun_aggregate,82,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,86.57,points,known
glm-5.3,poolact,tuning,all,all,cost_tight,naive,gap0_mi,Gap points,4,9,9,0,3,3,3,3,85.92950088398068,85.92950088398068,glm_rerun_20260912,rerun_aggregate,86,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,85.93,points,known
glm-5.3,poolact,tuning,all,all,cost_tight,naive,gap_mi,Gap points,4,9,9,0,3,3,3,3,85.92950088398068,85.92950088398068,glm_rerun_20260912,rerun_aggregate,88,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,85.93,points,known
glm-5.3,poolact,tuning,all,all,cost_tight,poolact,gap0_mi,Gap points,4,9,9,0,3,3,3,3,94.33103637151207,94.33103637151207,glm_rerun_20260912,rerun_aggregate,92,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,94.33,points,known
glm-5.3,poolact,tuning,all,all,cost_tight,poolact,gap_mi,Gap points,4,9,9,0,3,3,3,3,94.33103637151207,94.33103637151207,glm_rerun_20260912,rerun_aggregate,94,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,94.33,points,known
gpt-5.6-sol,poolact,evidence_audit,all,all,cost_moderate,cached,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6515837104072398,0.6515837104072398,gpt_original,old_absolute,2481,2026-09-10T22:33:08.898804Z,2026-09-11T01:36:25.038024Z,latest_available_not_rerun,65.16,0–100,known
gpt-5.6-sol,poolact,evidence_audit,all,all,cost_moderate,naive,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6470588235294118,0.6470588235294118,gpt_original,old_absolute,2485,2026-09-10T22:33:08.898804Z,2026-09-11T01:36:25.038024Z,latest_available_not_rerun,64.71,0–100,known
gpt-5.6-sol,poolact,evidence_audit,all,all,cost_moderate,poolact,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6742081447963801,0.6742081447963801,gpt_original,old_absolute,2489,2026-09-10T22:33:08.898804Z,2026-09-11T01:36:25.038024Z,latest_available_not_rerun,67.42,0–100,known
