model,task,seed,rep,free_delivered,tight_delivered,free_stopping,tight_stopping,free_first_best,tight_first_best,free_final,tight_final
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:A,2208,0,30,1,cap,budget,24,1,0.9404714107513428,0.845886747042338
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:B,2200,0,30,4,cap,natural,26,4,0.9386351505915324,0.9300213853518168
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:B,2204,0,30,3,cap,budget,22,3,0.9442107280095419,0.9407385190327963
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:B,2208,0,29,3,cap,budget,29,1,0.941940426826477,0.9246460994084676
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:C,2200,0,30,5,cap,natural,29,3,0.9404380321502686,0.9276175101598104
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:C,2204,0,29,7,cap,natural,26,5,0.9406717419624329,0.941038986047109
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench101:C,2208,0,30,2,cap,budget,29,1,0.9436097741127014,0.94264155626297
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar10-valid,2200,0,30,3,cap,natural,18,1,0.9160666665039063,0.9086799999186197
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar10-valid,2204,0,30,3,cap,natural,21,2,0.9160666665039063,0.915533333235677
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar10-valid,2208,0,30,3,cap,budget,30,2,0.9143999999837239,0.915533333235677
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar100,2200,0,30,4,cap,natural,18,1,0.7264333333333333,0.7167333333333334
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar100,2204,0,30,3,cap,budget,11,3,0.7350333333333333,0.7170000000000001
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:cifar100,2208,0,27,3,natural,budget,6,3,0.7350333333333333,0.7350333333333333
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:imagenet16-120,2200,0,30,5,cap,natural,29,1,0.46755555548773864,0.41111111097547737
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:imagenet16-120,2204,0,29,3,cap,budget,21,2,0.46572222222222226,0.41111111097547737
qwen3.8-2.4t-a95b-fp8,hpobench:nasbench201:imagenet16-120,2208,0,30,2,cap,budget,21,1,0.46572222222222226,0.46355555528428827
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:adult:steps,2200,0,15,1,other,budget,9,1,0.8508425940967821,0.8422037010656462
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:adult:steps,2204,0,27,1,natural,budget,16,1,0.8516481478512287,0.8422037010656462
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:adult:steps,2208,0,30,2,cap,natural,27,2,0.8520185190712412,0.8482685183264591
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:higgs:steps,2200,0,30,4,cap,natural,29,2,0.7170295212398595,0.7120618116601312
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:higgs:steps,2204,0,30,2,cap,budget,26,2,0.715567343680951,0.7095618134107426
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:higgs:steps,2208,0,30,1,cap,budget,29,1,0.7149215866269276,0.6515821149829788
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:letter:steps,2200,0,30,5,cap,natural,29,5,0.9634554497503361,0.9483491609453454
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:letter:steps,2204,0,30,10,cap,budget,29,7,0.9286521965658864,0.8843283589718731
qwen3.8-2.4t-a95b-fp8,hpobench:paramnet:letter:steps,2208,0,30,4,cap,natural,27,4,0.9601537739189973,0.9232247872529985
